Carrier,Origin_City,Origin_State,Origin,Dest_City,Dest_State,Destination,Miles,Origin_Lat,Origin_Lon,Dest_Lat,Dest_Lon
Pioneer Valley RTA,Holyoke,MA,"Holyoke, MA",Ludlow,MA,"Ludlow, MA",11,42.2042587,-72.6162009,42.1600936,-72.475919
Pioneer Valley RTA,Holyoke,MA,"Holyoke, MA",Ludlow,MA,"Ludlow, MA",11,42.2042587,-72.6162009,42.2398154,-71.8481275
Marble Valley Regional Transit District,Rutland,VT,"Rutland, VT",Ludlow,VT,"Ludlow, VT",25,43.6106237,-72.9726065,43.3959056,-72.7006518
Modera County Connection,Chowchilla,CA,"Chowchilla, CA",Madera,CA,"Madera, CA",16,37.1229997,-120.2601754,36.9613356,-120.0607176
Cascade East Transit,Warm Springs,OR,"Warm Springs, OR",Madras,OR,"Madras, OR",15,44.7634519,-121.2661625,44.6334544,-121.1294872
Marble Valley Regional Transit District,Rutland,VT,"Rutland, VT",Manchester,VT,"Manchester, VT",33,43.6106237,-72.9726065,43.1636875,-73.0723269
Marble Valley Regional Transit District,Rutland,VT,"Rutland, VT",Manchester,VT,"Manchester, VT",34,43.6106237,-72.9726065,43.1636875,-73.0723269
Miami-Dade County Transit (FL),Homestead,FL,"Homestead, FL",Marathon,FL,"Marathon, FL",77,25.4687224,-80.4775569,24.7137524,-81.0903512
Cape Cod RTA,Bourne,MA,"Bourne, MA",Mashpee,MA,"Mashpee, MA",20,41.7412166,-70.5989196,41.6484421,-70.4811383
Yamhill County Transit Area,Tigard,OR,"Tigard, OR",McMinnville,OR,"McMinnville, OR",28,45.4312294,-122.7714861,45.2101162,-123.1987163
Yamhill County Transit Area,Hillsboro,OR,"Hillsboro, OR",McMinnville,OR,"McMinnville, OR",32,45.5228939,-122.989827,45.2101162,-123.1987163
Space Coast area transit (FL),Titusville,FL,"Titusville, FL",Melbourne,FL,"Melbourne, FL",18,28.6122187,-80.8075538,28.0836269,-80.6081089
Merced Transit Authority,Gustine,CA,"Gustine, CA",Merced,CA,"Merced, CA",31,37.2577171,-120.9988154,37.3021633,-120.4829677
Merced Transit Authority,Dos Palos,CA,"Dos Palos, CA",Merced,CA,"Merced, CA",32,36.9860582,-120.6265722,37.3021633,-120.4829677
Merced Transit Authority,Winton,CA,"Winton, CA",Merced,CA,"Merced, CA",10,37.389383,-120.6132516,37.3021633,-120.4829677
Merced Transit Authority,Planada,CA,"Planada, CA",Merced,CA,"Merced, CA",11,37.2907749,-120.3185161,37.3021633,-120.4829677
Merrimack Valley RTA,Boston,MA,"Boston, MA",Methuen,MA,"Methuen, MA",30,42.3584308,-71.0597732,42.7262016,-71.1908924
Chittenden County Transportation Authority,Burlington,VT,"Burlington, VT",Milton,VT,"Milton, VT",17,44.4758825,-73.212072,44.6397701,-73.1104112
Milwaukee County Transit System,Saukville,WI,"Saukville, WI",Milwaukee,WI,"Milwaukee, WI",26,43.3816691,-87.9406454,43.0389025,-87.9064736
Metro Transit (MN),Carver,MN,"Carver, MN",Minneapolis,MN,"Minneapolis, MN",29,44.7635738,-93.625791,44.9799654,-93.2638361
Metro Transit (MN),Mound,MN,"Mound, MN",Minneapolis,MN,"Minneapolis, MN",24,44.9366295,-93.6660719,44.9799654,-93.2638361
Chittenden County Transportation Authority,Burlington,VT,"Burlington, VT",Montpelier,VT,"Montpelier, VT",39,44.4758825,-73.212072,44.2600593,-72.5753869
MetroWest RTA,Newton,MA,"Newton, MA",Natick,MA,"Natick, MA",10,42.3370414,-71.2092214,42.2834298,-71.3495032
MetroWest RTA,Southborough,MA,"Southborough, MA",Natick,MA,"Natick, MA",12,42.3056501,-71.5245087,42.2834298,-71.3495032
Greater Attleboro,Wareham,MA,"Wareham, MA",New Bedford,MA,"New Bedford, MA",21,41.7626037,-70.7217017,41.6362152,-70.934205
Southeastern RTA,Fall River,MA,"Fall River, MA",New Bedford,MA,"New Bedford, MA",15,41.7014912,-71.1550451,41.6362152,-70.934205
Lincoln County Transit (OR),Yachats,OR,"Yachats, OR",Newport,OR,"Newport, OR",24,44.3112312,-124.1048418,44.6367836,-124.0534505
Lincoln County Transit (OR),Roads End,OR,"Roads End, OR",Newport,OR,"Newport, OR",32,45.0062185,-124.0070576,44.6367836,-124.0534505
Valley Retriever (OR),Corvallis,OR,"Corvallis, OR",Newport,OR,"Newport, OR",39,44.5645659,-123.2620435,44.6367836,-124.0534505
Embark (Oklahoma City bus system),Oklahoma City,OK,"Oklahoma City, OK",Norman,OK,"Norman, OK",20,35.4675602,-97.5164276,35.2225668,-97.4394777
Berkshire RTA,Pittsfield,MA,"Pittsfield, MA",North Adams,MA,"North Adams, MA",19,42.4500846,-73.2453824,42.700915,-73.1087148
Merrimack Valley RTA,Boston,MA,"Boston, MA",North Andover,MA,"North Andover, MA",30,42.3584308,-71.0597732,42.6987024,-71.1350575
Curry Public Transit (OR),Brookings,OR,"Brookings, OR",North Bend,WA,"North Bend, WA",90,42.0526114,-124.2839819,47.4956579,-121.7867775
Placer County,Auburn,CA,"Auburn, CA",North Highlands,CA,"North Highlands, CA",24,38.8965654,-121.0768901,38.6857362,-121.3721745
Vineyard Transit Authority,Edgartown,MA,"Edgartown, MA",Oak Bluffs,MA,"Oak Bluffs, MA",11,41.3890052,-70.5133599,41.4542793,-70.5619724
Intercity Transit,Yelm,WA,"Yelm, WA",Olympia,WA,"Olympia, WA",22,46.9420431,-122.6059582,47.0378741,-122.9006951
Mason Transit,Shelton,WA,"Shelton, WA",Olympia,WA,"Olympia, WA",22,47.2150945,-123.1007066,47.0378741,-122.9006951
Franklin RTA,Greenfield,MA,"Greenfield, MA",Orange,MA,"Orange, MA",19,42.5875857,-72.5995339,42.5903646,-72.3098068
Montachusett RTA,Athol,MA,"Athol, MA",Orange,MA,"Orange, MA",10,42.5959203,-72.2267497,42.5903646,-72.3098068
Utah Transportation Authority,Brigham City,UT,"Brigham City, UT",Orem,UT,"Orem, UT",25,41.5102129,-112.0155015,40.2968979,-111.6946475
Cape Cod RTA,Hyannis,MA,"Hyannis, MA",Orleans,MA,"Orleans, MA",31,41.6528887,-70.2827989,41.7898313,-69.9897397
Central New York RTA,Syracuse,NY,"Syracuse, NY",Oswego,NY,"Oswego, NY",40,43.0481221,-76.1474244,43.4553461,-76.5104973
North County Transit District,Escondido,CA,"Escondido, CA",Pala,CA,"Pala, CA",24,33.1192068,-117.086421,33.3653102,-117.0766965
Greater Attleboro,Kingston,MA,"Kingston, MA",Pembroke,MA,"Pembroke, MA",12,42.4153734,-71.2445006,42.0714907,-70.8092074
Greater Attleboro,Kingston,MA,"Kingston, MA",Pembroke,MA,"Pembroke, MA",12,41.9945473,-70.7244822,42.0714907,-70.8092074
Butler County Transportation Authority,Butler,PA,"Butler, PA",Pittsburgh,PA,"Pittsburgh, PA",42,40.8611755,-79.8953328,40.4406248,-79.9958864
Mendocino Transit Authority,Santa Rosa,CA,"Santa Rosa, CA",Point Arena,CA,"Point Arena, CA",90,38.4404675,-122.7144314,38.908798,-123.6930726
Rochester City Lines (MN),Bloomington,MN,"Bloomington, MN",Preston,MN,"Preston, MN",113,44.840798,-93.2982799,43.6702423,-92.0832157
Cape Cod RTA,Harwich,MA,"Harwich, MA",Provincetown,MA,"Provincetown, MA",51,41.6862224,-70.0758508,42.058436,-70.1786375
Bustang Outrider,Alamosa,CO,"Alamosa, CO",Pueblo,CO,"Pueblo, CO",124,37.4694491,-105.87002150000001,38.2544472,-104.609141
Kitsap Transit,Bremerton,WA,"Bremerton, WA",Purdy,WA,"Purdy, WA",17,47.5673176,-122.6326391,47.3889853,-122.6254103
Stagecoach Transportation (Tri Valley Transit),Randolph,VT,"Randolph, VT",Quechee,VT,"Quechee, VT",32,43.9250653,-72.6659377,43.6461811,-72.4184261
North County Transit District,Escondido,CA,"Escondido, CA",Ramona,CA,"Ramona, CA",19,33.1192068,-117.086421,33.0417111,-116.868082
North County Transit District,Escondido,CA,"Escondido, CA",Ramona,CA,"Ramona, CA",19,33.1192068,-117.086421,38.5474063,-121.4088418
Piedmont Authority for Public Transportation,Asheboro,NC,"Asheboro, NC",Randleman,NC,"Randleman, NC",35,35.7079146,-79.8136446,35.8179143,-79.8030873
Tehama Rural Area Express,Orland,CA,"Orland, CA",Red Bluff,CA,"Red Bluff, CA",32,39.7473803,-122.1963748,40.1784886,-122.2358302
